ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-1106,2024,10.0,0.0,5.4312354313333335,8.334,7.51,7.65625,7.5,5.936272086266667,0.0,-5.1
RA-1107,2023,5.0,7.5,9.4,9.0,5.0,8.958333333,8.783333333,,-1.0,
RA-1107,2024,10.0,2.5,6.2,8.751,2.51,7.5,6.785,5.9731,0.0,-5.0
RA-1108,2023,5.0,4.7,9.3,0.0,5.0,8.541666667,8.283333333,,-1.0,
RA-1108,2024,10.0,3.6666666666666665,3.7546583853333337,9.168,8.13,7.1875,5.422,6.017215010400001,0.0,-1.0333333333333337
RA-1109,2023,5.0,3.4,6.4,10.0,5.0,7.5,7.836666667,,-2.0,
RA-111,2023,10.0,6.0,8.7,7.5,5.0,7.65625,8.0875,,1.0,-2.0
RA-111,2024,10.0,8.333333333333334,9.488636363666666,9.168,6.26,8.125,8.74,8.667693939400001,0.0,2.333333333333334
RA-1110,2023,5.0,6.8,9.2,4.6,5.0,8.541666667,8.73,,-1.0,
RA-1111,2023,10.0,5.4,8.9,0.0,2.52,8.125,8.173333333,,0.0,
RA-1111,2024,10.0,5.0,4.600414078666667,6.249,7.5,6.5625,5.824,6.116032815733334,1.0,-0.40000000000000036
RA-1112,2023,5.0,6.3,7.9,9.5,2.52,8.333333333,8.616666667,,-1.0,
RA-1112,2024,10.0,4.0,9.02791197,9.585,8.135,5.375,4.705,6.8560823939999995,0.0,-2.3
RA-1113,2023,5.0,5.0,6.0,0.0,7.52,7.5,7.173333333,,-1.0,
RA-1114,2023,10.0,4.9,9.8,8.5,2.52,8.125,8.56,,0.0,
RA-1114,2024,10.0,5.0,9.533333333333333,8.751,2.51,8.375,7.836,7.437466666666667,0.0,0.09999999999999964
RA-1115,2023,10.0,4.0,8.3,0.0,7.52,7.5,7.56,,0.0,
RA-1115,2024,10.0,6.25,4.2676767675,8.002,7.51,7.5,5.826666667,6.570068686900001,0.0,2.25
RA-1116,2023,5.0,4.9,9.2,9.5,5.0,7.083333333,7.39,,-1.0,
RA-1116,2024,5.0,2.3333333333333335,3.3555555556666667,0.0,6.26,5.125,5.066,3.7894777778,-1.0,-2.566666666666667
RA-1117,2023,10.0,7.3,9.6,9.0,7.52,7.708333333,7.946666667,,0.0,
RA-1117,2024,10.0,5.666666666666667,8.314814814666667,8.751,7.51,8.125,6.833333333,7.601562962866668,1.0,-1.6333333333333329
RA-1118,2023,5.0,6.0,8.8,5.3,7.52,7.708333333,8.28,,-1.0,
RA-1118,2024,10.0,3.8333333333333335,7.846439628666666,7.084,9.38,6.75,6.866,7.0305545924,0.0,-2.1666666666666665
RA-1119,2023,5.0,5.9,9.7,7.3,3.77,7.708333333,8.453333333,,-1.0,
RA-1119,2024,5.0,5.666666666666667,8.716666666666667,9.585,7.51,7.625,7.698,7.388266666666667,-1.0,-0.2333333333333334
RA-112,2023,5.0,7.4,8.1,6.7,5.0,7.96875,7.9225,,-1.0,-1.0999999999999996
RA-112,2024,10.0,8.0,7.978174603333333,7.083,7.51,7.96875,8.004,8.052609920666667,0.0,0.5999999999999996
RA-1120,2023,10.0,8.3,9.6,9.5,7.52,8.958333333,9.676666667,,0.0,
RA-1121,2023,10.0,8.0,9.9,0.0,6.26,8.75,9.84,,0.0,
RA-1121,2024,10.0,6.666666666666667,10.0,9.585,7.51,7.083333333,8.28,8.407166666633334,0.0,-1.333333333333333
RA-1122,2023,10.0,6.9,9.3,0.0,6.89,7.291666667,8.616666667,,0.0,
RA-1122,2024,10.0,5.333333333333333,9.861111111,8.751,7.51,7.083333333,7.22,7.817322222166666,1.0,-1.5666666666666673
RA-1123,2023,5.0,5.3,8.9,7.3,7.52,7.083333333,7.113333333,,-1.0,
RA-1124,2023,5.0,3.0,8.0,9.5,7.52,7.083333333,7.786666667,,-2.0,
RA-1125,2023,10.0,4.0,7.9,4.7,7.52,6.666666667,6.95,,0.0,
RA-1127,2023,10.0,6.9,9.9,8.5,5.02,8.125,9.01,,0.0,
RA-1127,2024,10.0,5.833333333333333,10.0,9.168,7.51,8.125,7.67,8.180966666666668,0.0,-1.0666666666666673
RA-1128,2023,5.0,3.5,7.3,9.5,5.02,7.916666667,7.503333333,,-1.0,
RA-1129,2023,10.0,7.8,9.2,0.0,6.27,7.916666667,7.503333333,,0.0,
RA-1129,2024,10.0,6.833333333333333,7.137254902,9.168,8.13,6.875,5.745,7.360417647066668,0.0,-0.9666666666666668
RA-113,2024,5.0,6.666666666666667,7.063851181666667,8.751,7.51,7.5,7.106666667,7.043536903066667,-1.0,2.966666666666667
RA-1130,2023,10.0,7.3,8.4,8.5,7.52,7.708333333,7.503333333,,0.0,
RA-1130,2024,10.0,4.333333333333333,6.278431372666667,8.751,8.13,6.875,5.33,6.563952941199999,0.0,-2.966666666666667
RA-1131,2023,5.0,9.1,9.9,7.9,5.02,8.75,9.286666667,,-1.0,
RA-1131,2024,10.0,8.333333333333334,9.277777777666666,8.334,6.255,7.291666667,7.893333333,8.2889555555,0.0,-0.7666666666666657
RA-1132,2023,5.0,5.8,6.3,10.0,6.27,7.916666667,7.503333333,,-1.0,
RA-1133,2023,10.0,6.5,10.0,9.5,6.27,8.541666667,9.343333333,,0.0,
RA-1133,2024,10.0,4.5,9.841269841333334,9.168,8.75,8.125,8.83,8.238553968266668,1.0,-2.0
RA-1134,2023,10.0,6.8,9.7,8.0,3.76,7.916666667,7.56,,0.0,
RA-1134,2024,10.0,6.0,8.914285714,8.751,7.51,7.708333333,6.883333333,7.7564571427,0.0,-0.7999999999999998
RA-1135,2023,10.0,7.2,9.4,0.0,7.52,8.125,7.896666667,,0.0,
RA-1136,2023,5.0,6.6,8.1,6.8,2.52,8.333333333,7.723333333,,-1.0,
